products_id,pdt_segment
70264,A
104912,A
88982,A
102312,A
85890,A
111092,A
102651,A
44488,A
46735,A
20056,A
110269,A
44760,A
92931,A
116194,A
93084,A
77778,A
110039,A
10651,A
90913,A
90923,A
9205,A
87225,A
17657,A
17601,A
87042,A
90869,A
73630,A
29022,A
5649,A
72849,A
87440,A
71191,A
78729,A
109240,A
77774,A
80546,A
110593,A
86987,A
86488,A
80111,A
87502,A
7364,A
68600,A
110934,A
111716,A
109531,A
118351,A
112831,A
1296,A
79939,A
92691,A
105609,A
29444,A
105505,A
4160,A
76665,A
10057,A
111154,A
79430,A
79425,A
44828,A
4270,A
70587,A
3622,A
100903,A
47775,A
106740,A
116903,A
103782,A
81875,A
108840,A
96313,B
16367,B
68288,B
1706,B
102274,B
106245,B
25200,B
120938,B
100802,B
108964,B
120378,B
80246,B
107856,B
15229,B
26349,B
92142,B
6026,B
9128,B
10649,B
120016,B
119932,B
69338,B
90839,B
5550,B
43233,B
113565,B
87426,B
45834,B
79011,B
96001,B
77471,B
70377,B
91042,B
80619,B
111565,B
67264,B
112090,B
26057,B
108749,B
46163,B
86257,B
109930,B
110939,B
93814,B
92353,B
90159,B
110958,B
10520,B
29450,B
9699,B
92201,B
45476,B
118283,B
117652,B
11068,B
72079,B
72087,B
120697,B
108559,B
13529,B
27862,B
77673,B
82822,B
100618,B
103459,B
106417,C
105147,C
105149,C
108668,C
21816,C
112630,C
63626,C
121535,C
8912,C
113062,C
101615,C
46461,C
114376,C
102514,C
124760,C
119879,C
80192,C
127242,C
103469,C
100488,C
121401,C
120324,C
108503,C
118376,C
48712,C
122845,C
70545,C
110052,C
119060,C
17746,C
110476,C
8740,C
120897,C
122076,C
79737,C
120998,C
3228,C
79710,C
92344,C
119565,C
119522,C
121887,C
128422,C
120924,C
71252,C
110351,C
118404,C
102280,C
112428,C
118388,C
120320,C
46242,K
46178,K
46017,K
88229,K
88132,K
24276,K
62190,K
74381,K
74921,K
74200,K
112766,K
85245,K
104458,K
84447,K
91970,K
43323,K
76726,K
21779,K
25069,K
74445,K
10201,K
21876,K
113091,K
105048,K
1886,K
67561,K
74223,K
67562,K
105112,K
109003,K
112998,K
119912,K
44614,K
88491,K
104894,K
16890,K
16296,K
24426,K
97920,K
26510,K
24573,K
26500,K
15259,K
95752,K
58888,K
7759,K
25171,K
44774,K
63159,K
78193,K
90862,K
18874,K
88261,K
5325,K
77606,K
15333,K
29068,K
92418,K
29077,K
41603,K
109859,K
75795,K
92408,K
23589,K
26496,K
75993,K
45381,K
71047,K
75846,K
75885,K
82730,K
92508,K
111533,K
6058,K
18864,K
18867,K
92488,K
69010,K
26664,K
19703,K
26846,K
19704,K
75222,K
75242,K
71590,K
6088,K
14289,K
103583,K
76020,K
86327,K
86332,K
88897,K
111476,K
88910,K
109260,K
15547,K
102919,K
97670,K
43218,K
94445,K
1452,K
19934,K
110371,K
98632,K
106025,K
110390,K
46564,K
22084,K
42850,K
26372,K
85306,K
12984,K
76192,K
106947,K
27286,K
49516,K
69157,K
71028,K
73131,K
78120,K
78125,K
79179,K
88956,K
101060,K
13992,K
22657,K
24322,K
41478,K
69933,K
71564,K
78585,K
79181,K
105290,K
107487,K
43786,K
45802,K
22786,K
27040,K
29482,K
43755,K
76353,K
70078,K
73735,K
78090,K
48131,K
106932,K
73796,K
41904,K
6512,K
46491,K
84484,K
15756,K
69255,K
23438,K
17965,K
70672,K
105408,K
71504,K
80330,K
102643,K
90545,K
69854,K
80327,K
101528,K
42949,K
11411,K
85320,K
46643,K
45090,K
91309,K
91315,K
91321,K
20329,K
105709,K
105705,K
43122,K
98566,K
90307,K
72873,K
117865,K
99142,K
70629,K
88152,K
19273,K
25685,K
79872,K
91824,K
99152,K
108953,K
74231,K
74281,K
112380,K
118282,K
44453,K
69778,K
9771,K
91510,K
98099,K
95862,K
20338,K
47188,K
23783,K
71479,K
71481,K
15716,K
24309,K
109959,K
24822,K
80466,K
85177,K
15043,K
42319,K
87954,K
14734,K
15000,K
25714,K
42327,K
71001,K
70996,K
17501,K
68785,K
681,K
24318,K
16391,K
68755,K
16409,K
68782,K
15130,K
101105,K
44979,K
71299,K
24833,K
83406,K
84695,K
85117,K
105102,K
7164,K
16314,K
23069,K
27106,K
48853,K
26265,K
41303,K
83459,K
79475,K
75160,K
48273,K
105035,K
81095,K
86361,K
94767,K
81130,K
108989,K
19971,K
97470,K
26304,K
102739,K
3727,K
68526,K
48377,K
72196,K
72238,K
110679,K
47811,K
48197,K
103373,K
30065,K
47928,K
16263,K
120684,K
13771,K
79289,K
49311,K
69713,K
87715,K
83466,K
27816,K
97992,K
104522,K
103146,K
103151,K
88445,K
104488,K
102696,K
73145,K
87656,K
101168,K
84789,K
88563,K
42146,K
92786,K
79932,K
74396,K
96133,K
9629,K
25447,K
90991,K
90412,K
47893,K
95949,K
48006,K
81179,K
26017,K
26044,K
117409,K
5454,K
70626,K
79548,K
81609,K
85846,K
94011,K
74088,K
81577,K
99753,K
99769,K
100070,K
49199,K
99454,K
99699,K
99845,K
100044,K
114337,K
83461,K
79473,K
73025,K
99717,K
6249,K
104004,K
16926,K
49568,K
30449,K
49578,K
14579,K
48815,K
72343,K
72349,K
13917,K
95350,K
81061,K
109449,K
113533,K
81086,K
17586,K
18870,K
91800,K
112457,K
81176,K
99132,K
18869,K
9101,K
116602,K
82062,K
90575,K
109617,K
69565,K
13838,K
84663,K
13814,K
13818,K
13803,K
22734,K
47092,K
71656,K
72591,K
108482,K
48846,K
76390,K
76398,K
10340,K
10980,K
11729,K
17011,K
43565,K
2759,K
94589,K
69419,K
45463,K
22688,K
22291,K
94609,K
30414,K
79530,K
94608,K
70701,K
70706,K
82079,K
111587,K
76213,K
87992,K
46146,K
19717,K
92334,K
73210,K
82439,K
95749,K
100605,K
72113,K
90941,K
88711,K
80940,K
69754,K
29995,K
76362,K
84525,K
86465,K
27151,K
93723,K
94318,K
95129,K
74901,K
84560,K
20285,K
24113,K
87178,K
89539,K
44417,K
87532,K
90943,K
17127,K
70232,K
80951,K
107918,K
108599,K
79509,K
90867,K
94258,K
94290,K
82418,K
88692,K
102040,K
90621,K
108285,K
8842,K
87846,K
68947,K
70190,K
77867,K
80382,K
99989,K
112784,K
70868,K
77879,K
85220,K
44601,K
81756,K
84659,K
83369,K
83373,K
44538,K
87465,K
118306,K
87469,K
72580,K
83595,K
78772,K
83604,K
112493,K
72853,K
94335,K
83345,K
78055,K
9553,K
12037,K
43017,K
73460,K
83890,K
83611,K
103127,K
103618,K
29344,K
80217,K
80218,K
101611,K
80530,K
72846,K
90757,K
79606,K
93696,K
84091,K
103239,K
92985,K
84062,K
94594,K
83823,K
94052,K
94813,K
84773,K
93806,K
72550,K
69305,K
104502,K
87612,K
83289,K
100208,K
47519,K
73163,K
48633,K
73185,K
104374,K
9620,K
9621,K
4859,K
95718,K
84116,K
69285,K
72573,K
68950,K
88556,K
94638,K
110115,K
82012,K
80093,K
8795,K
47512,K
69482,K
95397,K
73870,K
90136,K
69599,K
97521,K
97987,K
93464,K
105137,K
101247,K
72109,K
95818,K
76605,K
102571,K
109218,K
73913,K
84418,K
84426,K
78008,K
89186,K
75094,K
84986,K
99859,K
70219,K
71863,K
89084,K
7531,K
47433,K
80274,K
93322,K
91872,K
91880,K
87100,K
87166,K
85250,K
93867,K
13919,K
86319,K
8734,K
8735,K
15988,K
95944,K
72034,K
72618,K
80663,K
80710,K
98927,K
79995,K
96082,K
73136,K
96095,K
109102,K
103661,K
86714,K
47839,K
70521,K
107547,K
17680,K
27234,K
49972,K
100472,K
100413,K
41048,K
128399,K
27849,K
71075,K
78584,K
79816,K
2057,K
9123,K
68326,K
68963,K
86681,K
71079,K
88592,K
18423,K
30748,K
45326,K
101333,K
101360,K
90223,K
18458,K
23296,K
45261,K
90205,K
104120,K
18594,K
118777,K
118790,K
29600,K
102843,K
45227,K
48581,K
118710,K
18473,K
45244,K
100440,K
11476,K
76978,K
9293,K
118261,K
73532,K
75632,K
70645,K
76387,K
86688,K
102680,K
100289,K
46980,K
17972,K
16799,K
17963,K
79358,K
94428,K
73316,K
4129,K
79219,K
84004,K
90949,K
93552,K
2228,K
28301,K
94347,K
100241,K
8017,K
47746,K
93514,K
98936,K
8621,K
86237,K
86955,K
112542,K
79350,K
88785,K
45638,K
102284,K
110274,K
8634,K
57475,K
93880,K
100877,K
7926,K
20594,K
11471,K
86394,K
86398,K
93775,K
44242,K
83552,K
5080,K
8060,K
79053,K
45166,K
45177,K
87195,K
100662,K
77349,K
93174,K
28993,K
29036,K
93300,K
89239,K
81247,K
89371,K
1432,K
1647,K
73483,K
75776,K
3625,K
43130,K
89495,K
100203,K
14643,K
84059,K
79241,K
98550,K
27886,K
86606,K
14077,K
71135,K
47063,K
94492,K
73451,K
9025,K
21077,K
78695,K
78657,K
86610,K
88058,K
17236,K
45942,K
103551,K
3510,K
75978,K
75918,K
12776,K
25614,K
25615,K
14950,K
68256,K
78180,K
78234,K
79287,K
80128,K
47040,K
87606,K
80680,K
3793,K
100031,K
100057,K
3720,K
3681,K
1783,K
8141,K
15028,K
24581,K
7410,K
7484,K
78264,K
24596,K
48757,K
48275,K
26974,K
48146,K
19583,K
98539,K
82665,K
72787,K
72792,K
78262,K
87464,K
78271,K
108813,K
72440,K
94493,K
85782,K
69872,K
92039,K
103928,K
17195,K
82327,K
98747,K
9002,K
83671,K
94514,K
78616,K
10812,K
76743,K
77041,K
87987,K
7408,K
78785,K
47071,K
78177,K
78201,K
113290,K
3950,K
73639,K
94043,K
78679,K
82774,K
85335,K
122583,N
127003,N
121982,N
196120,N
190674,N
44727,N
188805,N
180847,N
208002,N
187326,N
122510,N
199498,N
200520,N
102913,X
43947,AP
113129,AP
85058,AP
42809,AP
76363,AP
7264,AP
44320,AP
89353,RE
108389,RE
108315,RE
13894,RE
27753,RE
104745,RH
105636,RH
96850,RH
104877,RH
111227,RH
119804,RH
200300,RH
76882,RH
71149,RH
115102,RH
104713,RH