promo_id,promo_name,promo_pourcent
220,MKP,0.0
358,Prolongation promos noël,0.25
432,Soldes ! 2ème démarque,0.25
427,Soldes ! ,0.25
254,Offre Spéciale,0.18
206,Les cadeaux responsables,0.15
484,Vive le bio,0.15
150,Grand ménage d'été ! ,0.15
126,Essentiels de l'été,0.15
253,Offre Spéciale,0.15
332,Offres Spéciales,0.15
159,Green Week ! ,0.3
451,Summer days ! ,0.3
443,Soldes ! Dernière démarque,0.35
482,Vive le bio,0.05
483,Vive le bio,0.1
266,Offre spéciale,0.1
412,Solaires en foleez !,0.1
372,Promo Septembre,0.1
431,Soldes ! 2ème démarque,0.2
357,Prolongation promos noël,0.2
449,Summer days ! ,0.2
408,Sans plastique !,0.2
89,DLC courtes,0.2
270,Offre spéciale,0.2
164,Green Week ! ,0.4
6,Anniversaire Greenweez !,0.13